trials,dice,user_choice_odd-even,whether_to_lie,actual_answer,dealer_answer,initial_reward,trust_rating,open_reward,open_penalty,user_response_open,choice_reward,balance
1,6,odd,truth,wrong,wrong,-500,5,200,-500,open,-500,9000
2,2,odd,lie,wrong,correct,500,9,1000,-200,not_open,-1,9500
3,3,odd,truth,correct,correct,500,9,500,-200,not_open,-1,10000
4,1,odd,truth,correct,correct,500,9,500,-1000,not_open,-1,10500
5,3,odd,truth,correct,correct,500,9,200,-1000,not_open,-1,11000
6,4,odd,lie,wrong,correct,500,9,500,-500,not_open,-1,11500
7,2,odd,lie,wrong,correct,500,9,1000,-500,not_open,-1,12000
8,2,odd,lie,wrong,correct,500,9,200,-1000,not_open,-1,12500
9,1,odd,truth,correct,correct,500,9,1000,-500,not_open,-1,13000
10,4,odd,lie,wrong,correct,500,9,500,-500,not_open,-1,13500
11,5,odd,truth,correct,correct,500,9,200,-1000,not_open,-1,14000
12,3,odd,lie,correct,wrong,-500,9,1000,-500,open,1000,14500
13,5,odd,lie,correct,wrong,-500,1,200,-1000,not_open,-1,14000
14,5,even,lie,wrong,correct,500,9,200,-200,not_open,-1,14500
15,4,even,truth,correct,correct,500,9,1000,-200,not_open,-1,15000
16,4,even,lie,correct,wrong,-500,1,1000,-1000,open,1000,15500
17,4,odd,lie,wrong,correct,500,9,200,-200,not_open,-1,16000
18,6,odd,lie,wrong,correct,500,9,500,-500,not_open,-1,16500
19,5,odd,lie,correct,wrong,-500,1,1000,-200,open,1000,17000
20,6,odd,lie,wrong,correct,500,9,1000,-200,not_open,-1,17500
21,4,odd,lie,wrong,correct,500,9,200,-500,not_open,-1,18000
22,3,odd,lie,correct,wrong,-500,9,200,-200,not_open,-1,17500
23,5,even,lie,wrong,correct,500,9,500,-500,not_open,-1,18000
24,6,even,truth,correct,correct,500,9,500,-200,not_open,-1,18500
25,1,even,lie,wrong,correct,500,9,200,-500,not_open,-1,19000
26,3,even,lie,wrong,correct,500,9,500,-200,not_open,-1,19500
27,3,even,truth,wrong,wrong,-500,9,200,-500,not_open,-1,19000
28,5,odd,truth,correct,correct,500,9,200,-200,not_open,-1,19500
29,5,odd,truth,correct,correct,500,9,1000,-500,not_open,-1,20000
30,4,odd,truth,wrong,wrong,-500,1,500,-1000,open,-1000,18500
31,5,even,lie,wrong,correct,500,9,1000,-1000,not_open,-1,19000
32,3,even,truth,wrong,wrong,-500,1,500,-1000,open,-1000,17500
33,5,odd,lie,correct,wrong,-500,1,1000,-1000,open,1000,18000
34,5,odd,lie,correct,wrong,-500,9,1000,-1000,not_open,-1,17500
35,1,even,truth,wrong,wrong,-500,9,500,-1000,not_open,-1,17000
36,4,odd,lie,wrong,correct,500,9,500,-200,not_open,-1,17500
